word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
SATIRES	7	1800	150	34	0.093333	0.08	0.058824	0.1	0.088235	free	0.97059	0	0	TIRES		TIRES	TIRES	0.68695	13.418	17.64	False	True
HERETO	6	1400	119	44	0.02521	0	0	0.086957	0.09375	free	0.84091	0	0	RET		HERE	RET	0.62276	13.39	11.589	False	True
DRATS	5	800	407	104	0.09828	0.068796	0.11538	0.17143	0.16667	free	0.77885	0	0.028846	RAT		RATS	RAT	0.57639	13.388	17.782	False	True
SARAN	5	800	248	77	0.018145	0.028226	0.038961	0	0	free	0.8961	0	0	RAN		SAR	RAN	0.66139	13.383	13.313	False	True
HALEST	6	1400	137	43	0.032847	0.021898	0	0.11111	0.055556	free	0.86047	0	0			HALES	HALES	0.6369	13.383	12.061	False	True
RETARD	6	1400	142	42	0.059859	0	0	0.16667	0.15	free	0.88095	0	0.02381	RET		RET	RET	0.65163	13.374	14.106	False	True
RATLIN	6	1400	124	41	0.016129	0	0	0.052632	0.052632	free	0.90244	0	0	RAT		RAT	RAT	0.66725	13.368	11.824	False	True
LINOS	5	800	227	86	0.019824	0.013216	0.011628	0.054054	0.017544	free	0.76744	0	0.046512	LIN		LIN	LIN	0.56816	13.365	11.269	False	True
SLIER	5	800	392	129	0.047194	0.038265	0.023256	0.066667	0.048544	free	0.52713	0	0.077519			LIER	LIER	0.39387	13.35	11.473	False	True
AERATE	6	1400	223	57	0.011211	0.0044843	0.017544	0.051282	0.020833	free	0.66667	0	0	RATE		RATE	RATE	0.49676	13.348	18.955	False	True
SILANE	6	1400	193	75	0.023316	0.020725	0.026667	0.057143	0.019608	free	0.52	0	0.093333		ALINES	LANE	LANE	0.39041	13.331	10.904	False	True
REATA	5	800	407	114	0.011057	0.004914	0	0.028571	0.01087	free	0.5614	0	0	EAT		EAT	EAT	0.41852	13.322	15.261	False	True
ENSEAR	6	1400	197	52	0.0050761	0.010152	0.019231	0	0	free	0.73077	0	0	SEA		SEAR	SEA	0.54311	13.312	17.172	False	True
