word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
SENATE	44	22.8627	21	6	1400	273	0	44	61600	32007.8	0	0.161172	61600	AEENST	5	SENA
REATE	79	39.8991	43	5	800	631	318	189	63200	31919.3	0.503962	0.299525	-103200	AEERT	3	EAT
RITS	173	79.754	77	4	400	1073	296	263	69200	31901.6	0.275862	0.245107	-13200	IRST	2	RIT
REALES	42	22.7656	28	6	1400	168	69	62	58800	31871.8	0.410714	0.369048	-9800	AEELRS	8	REAL
ASTONE	43	22.7292	27	6	1400	191	13	50	60200	31820.9	0.0680628	0.26178	51800	AENOST	2	STONE
STIRED	51	22.628	30	6	1400	238	98	98	71400	31679.3	0.411765	0.411765	0	DEIRST	4	STIRE
STIRS	84	39.5415	34	5	800	313	42	98	67200	31633.2	0.134185	0.313099	44800	IRSST	1	STIR
AIREST	43	22.5726	28	6	1400	372	4	45	60200	31601.7	0.0107527	0.120968	57400	AEIRST	6	IRES
DARTS	77	39.4658	42	5	800	285	108	134	61600	31572.6	0.378947	0.470175	20800	ADRST	4	DART
SORES	87	39.3771	40	5	800	445	240	211	69600	31501.7	0.539326	0.474157	-23200	EORSS	2	SORE
